,Scores,BBox
48,0.9762259,"[[404.90936 387.99106]
 [467.3171  385.27765]
 [468.3041  407.97922]
 [405.89636 410.69263]]"
49,0.9638479,"[[260.5672  395.82343]
 [296.3703  395.82343]
 [296.3703  415.71405]
 [260.5672  415.71405]]"
50,0.9669447,"[[300.34845 395.82343]
 [338.14062 395.82343]
 [338.14062 415.71405]
 [300.34845 415.71405]]"
51,0.93052465,"[[107.40938 397.8125 ]
 [135.25626 397.8125 ]
 [135.25626 417.70312]
 [107.40938 417.70312]]"
52,0.9811328,"[[391.8453  429.6375 ]
 [431.62656 429.6375 ]
 [431.62656 451.51718]
 [391.8453  451.51718]]"
53,0.90634155,"[[226.75313 431.62656]
 [268.52344 431.62656]
 [268.52344 453.50626]
 [226.75313 453.50626]]"
54,0.98324615,"[[332.17343 431.62656]
 [389.85626 431.62656]
 [389.85626 453.50626]
 [332.17343 453.50626]]"
55,0.9855947,"[[133.26718 433.61563]
 [177.02657 433.61563]
 [177.02657 455.4953 ]
 [133.26718 455.4953 ]]"
56,0.9664133,"[[179.01562 433.61563]
 [224.76407 433.61563]
 [224.76407 455.4953 ]
 [179.01562 455.4953 ]]"
57,0.93354857,"[[272.50156 433.61563]
 [328.1953  433.61563]
 [328.1953  453.50626]
 [272.50156 453.50626]]"
58,0.9449708,"[[ 85.529686 435.60468 ]
 [131.27812  435.60468 ]
 [131.27812  457.48438 ]
 [ 85.529686 457.48438 ]]"
59,0.958267,"[[ 61.66094 437.59375]
 [ 83.54063 437.59375]
 [ 83.54063 457.48438]
 [ 61.66094 457.48438]]"
60,0.9995082,"[[475.38593 459.47345]
 [511.18906 459.47345]
 [511.18906 479.36407]
 [475.38593 479.36407]]"
61,0.9254413,"[[459.47345 461.4625 ]
 [475.38593 461.4625 ]
 [475.38593 481.35312]
 [459.47345 481.35312]]"
62,0.9617577,"[[302.3375  465.4406 ]
 [340.1297  465.4406 ]
 [340.1297  485.33124]
 [302.3375  485.33124]]"
63,0.8435868,"[[290.40314 469.41876]
 [302.3375  469.41876]
 [302.3375  485.33124]
 [290.40314 485.33124]]"
64,0.81459844,"[[117.35469 471.4078 ]
 [129.28906 471.4078 ]
 [129.28906 489.3094 ]
 [117.35469 489.3094 ]]"
65,0.9587898,"[[ 59.671875 499.2547  ]
 [103.43125  499.2547  ]
 [103.43125  521.1344  ]
 [ 59.671875 521.1344  ]]"
66,0.9601663,"[[107.40938 499.2547 ]
 [159.125   499.2547 ]
 [159.125   519.1453 ]
 [107.40938 519.1453 ]]"
67,0.92800695,"[[161.11406 499.2547 ]
 [198.90625 499.2547 ]
 [198.90625 519.1453 ]
 [161.11406 519.1453 ]]"
68,0.9396761,"[[200.89531 499.2547 ]
 [262.55624 499.2547 ]
 [262.55624 519.1453 ]
 [200.89531 519.1453 ]]"
69,0.9858946,"[[474.41205 527.34845]
 [512.9313  524.13855]
 [514.64594 544.7151 ]
 [476.12674 547.925  ]]"
70,0.8704936,"[[463.45157 529.09064]
 [475.38593 529.09064]
 [475.38593 545.0031 ]
 [463.45157 545.0031 ]]"
